Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,61,2.1567569064018244e-08,2.898275841545228e-09,-8.914620153177566e-09,7.271766744310071e-09,-1.729093490610012e-08,0.005129872355610132,0.09949341416358948,-2.3968516060790535e-08,-1.3299287004997495e-08,8.19563861220729e-10,-1.1017545986646837e-08,2.067536186700636e-08,0.005141577683389187,0.09959757328033447,0.010842925868928432,2.8451981052057818e-05,0.006179803982377052,0.03192790225148201,-6.12895455560647e-05,0.013929463922977448,-0.00018997293955180794,0.0028335857205092907,1.2900505680590868e-05,0.026018310338258743,0.023230349645018578,1.9012690245290287e-05,4.14819733123295e-05,0.009553411975502968,0.009043608792126179,0.032163023948669434,0.033229704946279526,6.466484046541154e-05,0.0022900470066815615,-5.0343038310529664e-05,-0.0003028756473213434,-0.00015570336836390197,-7.63286225264892e-05,0.08764106035232544,0.08594974130392075,0.012838982045650482,0.012153152376413345,-0.00014707625086884946,-0.00016725898603908718,0.0875205472111702,0.06546995788812637,0.06554723531007767,-6.62551901768893e-05,0.008603455498814583,0.008770606480538845,-9.784864960238338e-05,-0.0003070083912461996,5.452893692137195e-10,-4.179775636714567e-09,2.42441906550539e-08,-5.379319212295286e-09,2.48812135339449e-08,1.0071787848175973e-08,-9.298323888629056e-09,3.00183913282126e-08,-8.50483772296684e-09,2.8178096300734978e-08
00:00:00:02.033,61,4.544109089010817e-08,4.0531160649948106e-09,-1.7233192650678575e-08,1.5832483768463135e-08,-3.6876649289752095e-08,0.009893765673041344,0.19834300875663757,-5.077570719436153e-08,-2.9355287978205524e-08,-9.238719789195216e-10,-2.2485853179432524e-08,4.137307385576605e-08,0.009918036870658398,0.19855456054210663,0.022553276270627975,8.204316691262648e-05,0.012379600666463375,0.06466767936944962,-0.0001962058449862525,0.027051949873566628,-0.0004139011725783348,0.0056771766394376755,2.3679114747210406e-05,0.05602459982037544,0.05036601424217224,5.5637599871261045e-05,4.830908801523037e-05,0.019543934613466263,0.018505023792386055,0.06481815874576569,0.06679081916809082,0.0001246433239430189,0.004562540911138058,-6.931424286449328e-05,-0.0006048307986930013,-0.0003758242237381637,-0.00020999237312935293,0.18070390820503235,0.17743143439292908,0.028367865830659866,0.02702590823173523,-0.0003043401229660958,-0.0003538055461831391,0.1754613071680069,0.13208389282226562,0.13223977386951447,-0.00013283293810673058,0.017996741458773613,0.018400058150291443,-0.0002103587321471423,-0.0004386311920825392,1.2586824915672423e-09,-7.078051478259795e-09,4.790723551195697e-08,-9.208917184366783e-09,5.2951275364421235e-08,2.0733102346071064e-08,-2.121180209258e-08,6.163492827226946e-08,-1.954287220939932e-08,6.175041278311255e-08
00:00:00:03.050,61,6.558560272651448e-08,6.806105457002332e-09,-2.56821515165484e-08,2.2597610893626552e-08,-5.30295096723421e-08,0.014536691829562187,0.2952386736869812,-7.316842953741798e-08,-4.1663646754841466e-08,0.0,-3.285147442966263e-08,6.078555969679655e-08,0.014576040208339691,0.2955557703971863,0.03587274253368378,0.00016155294724740088,0.018693115562200546,0.09974315762519836,-0.0003036800480913371,0.03896922618150711,-0.0005677075241692364,0.008545990101993084,-2.0808799945370993e-06,0.091862753033638,0.08356218039989471,7.783914043102413e-05,3.406548421480693e-05,0.03025165945291519,0.02865634299814701,0.09867516160011292,0.10125958919525146,0.00021275925973895937,0.0067862337455153465,-6.735205715813208e-06,-0.0009809195762500167,-0.0006215770845301449,-0.000349154113791883,0.28138428926467896,0.27664056420326233,0.04724399745464325,0.04536331072449684,-0.0004231556667946279,-0.0005039357929490507,0.263631671667099,0.20063963532447815,0.2008744776248932,-0.00017856188060250133,0.028972934931516647,0.02979080192744732,-0.00036232476122677326,-0.00029066778370179236,1.7560086718049206e-09,-1.1041760394903122e-08,7.078796926407449e-08,-1.437216923250162e-08,7.620826636411948e-08,3.017764527157851e-08,-2.9772518672643855e-08,8.978135923598529e-08,-2.7459114093630888e-08,8.797645989488956e-08
00:00:00:04.066,61,8.167326370767114e-08,5.18560394624501e-09,-2.9452143834873823e-08,2.88486496913265e-08,-6.666034835234314e-08,0.018225470557808876,0.38896167278289795,-9.131431255582356e-08,-5.406140957120442e-08,-4.142522769257084e-09,-3.968179029811836e-08,7.234513788034747e-08,0.01828700676560402,0.38938385248184204,0.052475638687610626,0.00033844716381281614,0.024499354884028435,0.14082446694374084,-0.0003223128442186862,0.05024800822138786,-0.0007513272576034069,0.011652717366814613,-7.008654938545078e-05,0.13719743490219116,0.12648846209049225,0.00011885618732776493,-7.669210026506335e-05,0.04206578806042671,0.039788734167814255,0.13498878479003906,0.13753041625022888,0.0004976253258064389,0.009211663156747818,0.00020271586254239082,-0.0014764334773644805,-0.0009443584713153541,-0.000469972233986482,0.3961981534957886,0.3902319669723511,0.07300765812397003,0.07085015624761581,-0.00048818657523952425,-0.0006167719257064164,0.3505612909793854,0.2730672359466553,0.27338123321533203,-0.00012802070705220103,0.04223860055208206,0.04366336762905121,-0.0007313453243114054,0.00022422862821258605,2.3506581126042647e-09,-1.1190772752911471e-08,8.320808575490446e-08,-1.4632940192882415e-08,9.582936399965547e-08,3.6809591819064735e-08,-3.951787874711954e-08,1.0913610282159425e-07,-3.658234959402762e-08,1.1286139312005616e-07
00:00:00:04.083,61,1.002382461479101e-07,4.805624342907322e-09,-3.4859404252074455e-08,3.5874546000513874e-08,-8.193776324105784e-08,0.019852714613080025,0.4789751470088959,-1.1218711648552926e-07,-6.750226333451792e-08,-7.227063392178934e-09,-4.805624342907322e-08,8.679926111199165e-08,0.019923686981201172,0.47949299216270447,0.07526921480894089,0.00044986893772147596,0.03185566887259483,0.19002346694469452,-0.0006248158169910312,0.06290581822395325,-0.0010799738811329007,0.013827771879732609,-0.0002592949604149908,0.1937548965215683,0.18194805085659027,0.0001126086717704311,-0.0002017504011746496,0.054701000452041626,0.05176080763339996,0.17442701756954193,0.17684322595596313,0.00035154103534296155,0.01070186123251915,0.0001279580610571429,-0.002169903600588441,-0.0015523141482844949,-0.0008532319916412234,0.5272608995437622,0.5206941366195679,0.11179055273532867,0.10967068374156952,-0.0008117321413010359,-0.0009745577117428184,0.43756207823753357,0.34906673431396484,0.34945380687713623,-0.00020533718634396791,0.06206660345196724,0.06427820026874542,-0.0009922655299305916,0.0019401252502575517,2.9685907065868378e-09,-1.2218952072373668e-08,9.95770079725844e-08,-1.637265079068584e-08,1.1820345946489397e-07,4.4766348850089344e-08,-4.984438461974605e-08,1.3265758980196551e-07,-4.6249478913296116e-08,1.405179546054569e-07
00:00:00:06.100,61,1.1956319667660864e-07,4.2095780194983945e-09,-4.0493905117955364e-08,4.307366907596588e-08,-9.8189339325927e-08,0.01903037168085575,0.4683808982372284,-1.3412908117516054e-07,-8.136034068684239e-08,-1.0728836485895954e-08,-5.6861900077365135e-08,1.0203569900113507e-07,0.01909753680229187,0.46889808773994446,0.08247216045856476,0.0005965149030089378,0.03336105868220329,0.20206500589847565,-0.000504413852468133,0.060434676706790924,-0.0010922818910330534,0.013162441551685333,-0.00028883558115921915,0.22312602400779724,0.21250061690807343,-0.00012162983330199495,-0.0005808538408018649,0.05635234713554382,0.05340428277850151,0.1766877919435501,0.17836040258407593,0.00016739130660425872,0.00987173616886139,0.0001940096844919026,-0.002341774059459567,-0.001808950793929398,-0.0010390838142484426,0.561255693435669,0.5558844804763794,0.13809938728809357,0.1362653225660324,-0.0007356238202191889,-0.0009372737840749323,0.43275177478790283,0.3602307140827179,0.36060696840286255,-0.00024848157772794366,0.07555928081274033,0.07814392447471619,0.00135973806027323,0.006189725361764431,3.6193523733629718e-09,-1.337379185173404e-08,1.1624768347928693e-07,-1.8198043960637733e-08,1.4110467816408345e-07,5.293870231071196e-08,-6.062909818638218e-08,1.5710480738562183e-07,-5.647540035624843e-08,1.6901641686217772e-07
00:00:00:07.116,61,1.280335766296048e-07,8.028000486604014e-09,-4.596076763618839e-08,4.53088446761285e-08,-1.0455027421585328e-07,0.01906682550907135,0.45765191316604614,-1.4330260000861017e-07,-8.471310053437264e-08,-6.7241487933245025e-09,-6.221235082648491e-08,1.1302530822376866e-07,0.01912597566843033,0.45815926790237427,0.09106436371803284,0.0005577750271186233,0.034436583518981934,0.21173954010009766,-0.00023885458358563483,0.06377918273210526,-0.0012922919122502208,0.012013975530862808,-0.00021356182696763426,0.25066816806793213,0.24358320236206055,-9.192556171910837e-05,-0.0007867751992307603,0.0557485856115818,0.0527828112244606,0.1749763935804367,0.1755443513393402,-6.986618245719001e-05,0.00908699445426464,-0.00037299393443390727,-0.001602626172825694,-0.0017430272419005632,-0.0008093015640042722,0.5889896154403687,0.5850768685340881,0.17504671216011047,0.1744573563337326,-0.0004480391799006611,-0.0005662899930030107,0.4278601109981537,0.37380826473236084,0.3741733431816101,-0.0003020392032340169,0.09361065179109573,0.09763798117637634,0.013848185539245605,0.021899983286857605,3.6926939284143145e-09,-1.7397105978034233e-08,1.2947246830208314e-07,-2.3040920282824118e-08,1.4967285721922963e-07,5.7411380538496815e-08,-6.197020496756522e-08,1.7084647652154672e-07,-5.746260356431776e-08,1.7747282754498883e-07
00:00:00:08.133,61,1.0919757187366486e-07,1.2442469277118562e-08,-4.310160761633597e-08,3.7369318306446075e-08,-8.82521291600824e-08,0.01968947798013687,0.45030590891838074,-1.2164004203896184e-07,-6.88061092546377e-08,9.126961408867373e-10,-5.498993971286836e-08,1.020170756760308e-07,0.019741350784897804,0.4508025348186493,0.0962429940700531,0.0004883952206000686,0.036337509751319885,0.21475771069526672,-0.00042361736996099353,0.07483529299497604,-0.0014428043505176902,0.01081567071378231,-0.00019072153372690082,0.26858389377593994,0.26453620195388794,-0.0001146864888141863,-0.0008457137737423182,0.053601182997226715,0.050699587911367416,0.16709071397781372,0.16714343428611755,-9.775102080311626e-05,0.008030704222619534,-0.0014023709809407592,0.0005947708850726485,-0.0014130148338153958,-0.00025922071654349566,0.6025726199150085,0.5992260575294495,0.21696971356868744,0.21745415031909943,-0.00044396519660949707,-0.00048719049664214253,0.42545661330223083,0.38791823387145996,0.38827431201934814,-0.00021674306481145322,0.11113786697387695,0.11671348661184311,0.036981984972953796,0.04818391427397728,2.8661453210787613e-09,-1.927837800508314e-08,1.1891126661112139e-07,-2.495944428915209e-08,1.2634322388294095e-07,5.029025373914919e-08,-4.872679681966474e-08,1.500034727541788e-07,-4.48524950513729e-08,1.4513730661747104e-07
00:00:00:09.150,61,1.0453630494566823e-07,1.9147991636714323e-08,-4.660338248640983e-08,3.404449699928591e-08,-8.331611667244943e-08,0.020356211811304092,0.44421541690826416,-1.1592172199925699e-07,-6.120652074059763e-08,9.946525381110405e-09,-5.52879662052419e-08,1.0523013571628326e-07,0.020394308492541313,0.444691926240921,0.0977589413523674,0.00040719882235862315,0.03784393146634102,0.21433673799037933,-0.0005666339420713484,0.09415753185749054,-0.0012177794706076384,0.009866628795862198,-0.00014632739475928247,0.2775263488292694,0.27648332715034485,-0.00014841824304312468,-0.0008707570959813893,0.050362106412649155,0.047545429319143295,0.15732507407665253,0.15758965909481049,-0.0002033364726230502,0.00749166589230299,-0.002010726137086749,0.003840983845293522,-0.0011072057532146573,0.00021499708236660808,0.607334315776825,0.6042872071266174,0.254305362701416,0.25604668259620667,-0.0004458862531464547,-0.0003849077329505235,0.42394036054611206,0.3982556164264679,0.39860862493515015,-0.000327161920722574,0.12605339288711548,0.13290300965309143,0.06080176681280136,0.07552871853113174,2.381857377997676e-09,-2.4326146430553308e-08,1.248531020792143e-07,-3.09757872685168e-08,1.1912547392967099e-07,4.9896769382939965e-08,-4.122033558928706e-08,1.4934688863377232e-07,-3.719702235116529e-08,1.315586217742748e-07
