Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,61,4.159286692839714e-09,1.3485550454106487e-09,-2.3022292960916957e-09,1.2069940602543738e-09,-3.183260544048494e-09,0.001321873627603054,0.09554465115070343,-4.505738893101352e-09,-2.0973385250755427e-09,1.1697411927968915e-09,-2.3804604953880926e-09,4.775821960123494e-09,0.0013219928368926048,0.09562177211046219,0.0013007278321310878,0.00012171058915555477,0.0011623967438936234,0.00234522158280015,0.0005300274933688343,0.0006206638063304126,0.004494951106607914,0.00289844605140388,-7.601973629789427e-05,0.0004108058346901089,-1.8396020095678978e-05,0.005144556984305382,0.005524572916328907,0.002168451203033328,0.0017306767404079437,0.004563049413263798,0.0033230227418243885,0.0029986859299242496,0.0012344536371529102,0.00011346918472554535,-4.694807648775168e-05,0.00010186037980020046,0.0002854220801964402,0.0031970590353012085,0.0018463775049895048,0.0003728359006345272,0.00019081911887042224,4.7910809371387586e-05,3.586387538234703e-05,0.03432885557413101,0.01817239820957184,0.018221167847514153,0.00045910864719189703,0.0014449467416852713,0.0019718091934919357,3.193831435055472e-05,-0.00010357904102420434,6.984919587171845e-11,-1.4342367293807001e-09,6.02006888783535e-09,-1.8477439578390431e-09,4.850328139127669e-09,2.191402170836909e-09,-1.274049310495684e-09,6.463378721122126e-09,-9.909272291608318e-10,4.589557622836082e-09
00:00:00:02.033,61,2.257525899551638e-08,4.0531160649948106e-09,-1.0091811830648112e-08,7.394701295737605e-09,-1.7948448061133604e-08,0.0025446773506700993,0.19248968362808228,-2.497807294332688e-08,-1.338869282108135e-08,2.10106376741237e-09,-1.1866911897584487e-08,2.2605060934210996e-08,0.002547379583120346,0.19264599680900574,0.0022243254352360964,0.00025192031171172857,0.0012471335940063,0.003216021228581667,0.001872721128165722,0.00021431063942145556,0.016765858978033066,0.005597992334514856,-0.00013468341785483062,0.00018876433023251593,0.00017508750897832215,0.016814060509204865,0.017713259905576706,0.003363312454894185,0.0025389103684574366,0.004547682590782642,0.0016373839462175965,0.006395387463271618,0.002488240832462907,0.0002409240696579218,-0.00022049986000638455,0.0002764966629911214,0.0006621105712838471,0.0016883468488231301,-0.0013065219391137362,0.00013172774924896657,-5.343258453649469e-05,8.951687777880579e-05,6.854319508420303e-05,0.07062298059463501,0.037148602306842804,0.03724513202905655,0.001093205763027072,0.0025660747196525335,0.0038117016665637493,0.00010677623504307121,-0.00013315558317117393,5.289911841899197e-10,-5.1483510787875275e-09,2.682953947896749e-08,-6.638467109354451e-09,2.6002528130675273e-08,1.0802410521648653e-08,-9.134412337630238e-09,3.223120970119453e-08,-8.128583139921375e-09,2.8684734587614003e-08
00:00:00:03.050,61,4.212185444885108e-08,8.247792671056686e-09,-1.9283964647343055e-08,1.3601034964949577e-08,-3.338791287887943e-08,0.004122059792280197,0.2941444218158722,-4.653632501572247e-08,-2.4542211818356918e-08,4.850328139127669e-09,-2.244673602547209e-08,4.2960046187090484e-08,0.004128722008317709,0.29437312483787537,0.0034183510579168797,0.0003481090534478426,0.0011584284948185086,0.00606117770075798,0.005466419272124767,0.002120866207405925,0.04094009846448898,0.00836204644292593,-0.00022597421775572002,-0.0003666001430246979,0.00036687523243017495,0.039246343076229095,0.040789294987916946,0.0037859929725527763,0.002559660468250513,0.005043288227170706,0.0005301177152432501,0.009125986136496067,0.003787156194448471,0.0004722908779513091,-0.00033660687040537596,0.0005486921290867031,0.0011405760888010263,0.0015948497457429767,-0.003034533467143774,-0.00032544968416914344,-0.0004025728558190167,4.6106099034659564e-05,2.5803567041293718e-05,0.11040529608726501,0.05848626419901848,0.058628715574741364,0.0020118518732488155,0.003111223690211773,0.005138637498021126,0.00015813339268788695,-0.00017680262681096792,9.387731703114355e-10,-1.0281801188227746e-08,5.1151960889228576e-08,-1.3053417902142428e-08,4.808977038806006e-08,2.0249281362794136e-08,-1.627206813736848e-08,6.062909818638218e-08,-1.4495104672107573e-08,5.252659462939846e-08
00:00:00:04.066,61,5.302577932297936e-08,5.021691062978562e-09,-2.0697713765116532e-08,1.8365680531928774e-08,-4.2997299942726386e-08,0.006025291047990322,0.4010884165763855,-5.9068202773460143e-08,-3.418326599557986e-08,-4.619359894597608e-10,-2.6475637682210618e-08,4.887580828949467e-08,0.006038561463356018,0.4013795852661133,0.004920472856611013,0.00034009249066002667,0.0012501145247370005,0.014677690342068672,0.0143141970038414,0.00869329646229744,0.084896519780159,0.011187603697180748,-0.00036494486266747117,-0.0010267129400745034,0.000877224956639111,0.07566133141517639,0.0781564712524414,0.0038745184428989887,0.002184745389968157,0.006278924643993378,-7.46262667234987e-05,0.009683951735496521,0.005014700815081596,0.0003938546287827194,-0.00040441774763166904,0.0008050850592553616,0.0016063980292528868,0.002532243262976408,-0.004251574166119099,-0.0006617639446631074,-0.0005465555004775524,9.045410115504637e-05,8.819007780402899e-05,0.15518999099731445,0.08697660267353058,0.08716465532779694,0.0030694848392158747,0.0037473130505532026,0.006289136596024036,0.00024090481747407466,-0.0002852172765415162,1.4482066656995585e-09,-8.761882774876995e-09,5.656480794868912e-08,-1.1518597631265948e-08,6.194412804916283e-08,2.4249777297313813e-08,-2.4408100429695878e-08,7.238239163598337e-08,-2.254545705682176e-08,7.182359951229955e-08
00:00:00:04.083,61,5.549751236344491e-08,8.530914641369236e-09,-2.4056062031263536e-08,1.8384307409746725e-08,-4.444271439751901e-08,0.0069040171802043915,0.505035936832428,-6.148591324972585e-08,-3.3490358930521325e-08,3.3527611797978807e-09,-2.885703054289479e-08,5.442648998155164e-08,0.006928241346031427,0.5053876638412476,0.007395521271973848,0.0003196333418600261,0.0018967922078445554,0.029447123408317566,0.028051123023033142,0.02054702676832676,0.1413090080022812,0.014159473590552807,-0.0005509522743523121,-0.0020119494292885065,0.0008119398262351751,0.12068445235490799,0.12424028664827347,0.003936806693673134,0.0016074628802016377,0.008636686019599438,-0.00018157005251850933,0.009242714382708073,0.007052109111100435,3.2857657060958445e-05,-0.0002646991633810103,0.0010382308391854167,0.0019913387950509787,0.008049317635595798,-0.0013103752862662077,-0.0006104758358560503,-0.0007076740148477256,-0.00015644848463125527,-0.00013871132978238165,0.22328613698482513,0.1346350461244583,0.13487520813941956,0.004322899971157312,0.0046998183242976665,0.006977418437600136,0.0006769758183509111,-0.0005673301056958735,1.3574026347384915e-09,-1.1697411927968915e-08,6.392598095317226e-08,-1.512467839859255e-08,6.407499597571586e-08,2.6104972405960325e-08,-2.3264437487569012e-08,7.814728064658993e-08,-2.0936131051030316e-08,7.133930779446018e-08
00:00:00:06.100,61,5.22285716897386e-08,1.3448297586649005e-08,-2.6505439620905236e-08,1.6083941289934955e-08,-4.0931627864893017e-08,0.007569425273686647,0.5007801651954651,-5.732290375703997e-08,-2.831220591303918e-08,9.760260155644573e-09,-2.902466889054267e-08,5.651265411188433e-08,0.007614209782332182,0.5010955929756165,0.00864575058221817,0.00029743037885054946,0.002974908333271742,0.04625779017806053,0.03930435702204704,0.05269755423069,0.17024482786655426,0.014356090687215328,-0.0007369744125753641,-0.0023757934104651213,0.0006519779562950134,0.14431129395961761,0.14843223989009857,0.002653449075296521,9.300447709392756e-05,0.011495687067508698,0.0017699041636660695,0.0057458640076220036,0.00795090850442648,-0.0002861058746930212,-0.0002778609050437808,0.0008007729193195701,0.001735531142912805,0.03351140394806862,0.02326059341430664,-0.00016089528799057007,-0.0006485594785772264,-0.00048527331091463566,-0.0004564987029880285,0.2693898677825928,0.17811210453510284,0.17835590243339539,0.004333282820880413,0.006000107619911432,0.0074152457527816296,0.0005226475186645985,-0.000967975240200758,1.0128132776898724e-09,-1.5329568725519493e-08,6.778165584364615e-08,-1.9036233922520296e-08,5.89340913847991e-08,2.5741755393937638e-08,-1.7955899878074888e-08,7.745809682546678e-08,-1.5664845420815254e-08,6.191432788682505e-08
00:00:00:07.116,61,7.474795182815797e-08,2.516433639243587e-08,-4.2114407960980316e-08,2.1681190176536802e-08,-5.7518480645057934e-08,0.008916857652366161,0.4936542809009552,-8.162110987086635e-08,-3.67872416973114e-08,2.1550803808167984e-08,-4.373025319637236e-08,8.724629907419512e-08,0.008990850299596786,0.4939577579498291,0.010317020118236542,0.00025021613691933453,0.004072472918778658,0.07240620255470276,0.04860597476363182,0.11460626870393753,0.17199164628982544,0.015076911076903343,-0.0008802184602245688,-0.0016655167564749718,0.0006721477257087827,0.1576206237077713,0.16186702251434326,0.0029052901081740856,6.0873033362440765e-05,0.022335965186357498,0.012472279369831085,0.003021136624738574,0.009630924090743065,-3.26815243170131e-05,-0.0006484374171122909,0.000854904530569911,0.0018173846183344722,0.090700663626194,0.07929085940122604,0.0001487781119067222,-0.000515964173246175,-0.0009744351846165955,-0.0009077060385607183,0.3246717154979706,0.23112598061561584,0.2313753068447113,0.0038530081510543823,0.009142830967903137,0.009816192090511322,0.0006894469261169434,-0.00158507761079818,1.1362135676762364e-09,-2.6635825989274053e-08,1.0609626599489275e-07,-3.324821662431532e-08,8.210540158870572e-08,3.817491389668248e-08,-2.0973384806666218e-08,1.1549331446758515e-07,-1.7546117447864162e-08,8.247792493421002e-08
00:00:00:08.133,61,9.641982501307211e-08,6.239861072288022e-09,-3.49804771815343e-08,3.4123658565476944e-08,-7.878988839138401e-08,0.01146338228136301,0.4740510880947113,-1.0796822635938952e-07,-6.379559636116028e-08,-4.991889124283944e-09,-4.706438616608466e-08,8.538365392496416e-08,0.011553441174328327,0.4743408262729645,0.01393814105540514,0.00020890339510515332,0.007045626640319824,0.10362522304058075,0.045637160539627075,0.1890125423669815,0.14595353603363037,0.014721427112817764,-0.0008392315357923508,-0.003391322446987033,-0.0013735187239944935,0.15232062339782715,0.15631631016731262,0.003477867227047682,0.0005282601923681796,0.04048972949385643,0.03267710283398628,0.001248275046236813,0.01061189640313387,0.00035241423756815493,-0.0010586618445813656,0.0007764867623336613,0.0017491519683972,0.1713743656873703,0.15947560966014862,0.01017066277563572,0.009638427756726742,-0.00034414767287671566,-0.00028069494874216616,0.3870207965373993,0.28401699662208557,0.28425341844558716,0.0033672780264168978,0.013350899331271648,0.014073379337787628,0.0005165135953575373,-0.0013432002160698175,2.7730129303904505e-09,-1.3075768912074182e-08,9.700656278255337e-08,-1.700595042564146e-08,1.1249445464045493e-07,4.2931642241228474e-08,-4.682689791479788e-08,1.2841076113545569e-07,-4.341825743381378e-08,1.3392418907187675e-07
00:00:00:09.150,61,9.206123507965458e-08,-4.3027101881421e-09,-2.5890766863767567e-08,3.49804771815343e-08,-7.714145056070265e-08,0.011316249147057533,0.4558488726615906,-1.0411255146891563e-07,-6.716698663922216e-08,-1.7248094508204304e-08,-4.1378662274382805e-08,7.11716694468123e-08,0.01140396948903799,0.4561587870121002,0.019017286598682404,0.00027084856992587447,0.0105581758543849,0.14355237782001495,0.03520413860678673,0.24061459302902222,0.10515178740024567,0.013830380514264107,-0.000655881769489497,-0.003076086984947324,-0.0010004404466599226,0.10967664420604706,0.11263136565685272,0.005408061668276787,0.002069082809612155,0.056710805743932724,0.05002708360552788,0.0007153856568038464,0.011792928911745548,7.836818440409843e-06,-0.0012569832615554333,0.0004020144697278738,0.0013532147277146578,0.24304507672786713,0.23145805299282074,0.03675773739814758,0.03682845085859299,-1.9904375221813098e-05,-3.171444041072391e-05,0.4393131136894226,0.3250259757041931,0.32524967193603516,0.0031061258632689714,0.02259089983999729,0.024066617712378502,-0.0001565140555612743,-0.0006622803048230708,3.165332662646847e-09,-4.228204453227136e-09,7.769092746912065e-08,-6.463378721122126e-09,1.1037104030720002e-07,3.86266023610915e-08,-5.250796775158051e-08,1.14804130646462e-07,-4.932284269898446e-08,1.383200327609302e-07
